2022-09-29 16:14:21,779 - ERROR - Rank 0 | Episode Reward: 9833.10 | Success cnt: 10 | Local Step: 1000 | Global Episode: 695 | Global Worker Step: 695000
2022-09-29 16:17:29,872 - ERROR - Rank 0 | Episode Reward: 9838.29 | Success cnt: 10 | Local Step: 1000 | Global Episode: 703 | Global Worker Step: 703000
2022-09-29 16:21:30,982 - ERROR - Rank 0 | Episode Reward: 9851.47 | Success cnt: 10 | Local Step: 1000 | Global Episode: 716 | Global Worker Step: 716000
2022-09-29 16:24:40,838 - ERROR - Rank 0 | Episode Reward: 9811.02 | Success cnt: 10 | Local Step: 1000 | Global Episode: 726 | Global Worker Step: 726000
2022-09-29 16:27:50,087 - ERROR - Rank 0 | Episode Reward: 9774.48 | Success cnt: 10 | Local Step: 1000 | Global Episode: 734 | Global Worker Step: 734000
2022-09-29 16:31:49,623 - ERROR - Rank 0 | Episode Reward: 9902.40 | Success cnt: 10 | Local Step: 1000 | Global Episode: 747 | Global Worker Step: 747000
2022-09-29 16:35:00,135 - ERROR - Rank 0 | Episode Reward: 9940.31 | Success cnt: 10 | Local Step: 1000 | Global Episode: 757 | Global Worker Step: 757000
2022-09-29 16:38:08,001 - ERROR - Rank 0 | Episode Reward: 9854.17 | Success cnt: 10 | Local Step: 1000 | Global Episode: 765 | Global Worker Step: 765000
2022-09-29 16:41:18,121 - ERROR - Rank 0 | Episode Reward: 9970.27 | Success cnt: 10 | Local Step: 1000 | Global Episode: 775 | Global Worker Step: 775000
2022-09-29 16:44:28,115 - ERROR - Rank 0 | Episode Reward: 9892.50 | Success cnt: 10 | Local Step: 1000 | Global Episode: 785 | Global Worker Step: 785000
2022-09-29 16:47:36,476 - ERROR - Rank 0 | Episode Reward: 9917.96 | Success cnt: 10 | Local Step: 1000 | Global Episode: 793 | Global Worker Step: 793000
2022-09-29 16:51:36,833 - ERROR - Rank 0 | Episode Reward: 9881.59 | Success cnt: 10 | Local Step: 1000 | Global Episode: 806 | Global Worker Step: 806000
2022-09-29 16:54:47,166 - ERROR - Rank 0 | Episode Reward: 9145.80 | Success cnt: 9 | Local Step: 1000 | Global Episode: 816 | Global Worker Step: 816000
2022-09-29 16:57:55,510 - ERROR - Rank 0 | Episode Reward: 9846.50 | Success cnt: 10 | Local Step: 1000 | Global Episode: 824 | Global Worker Step: 824000
2022-09-29 17:01:57,368 - ERROR - Rank 0 | Episode Reward: 9921.61 | Success cnt: 10 | Local Step: 1000 | Global Episode: 837 | Global Worker Step: 837000
2022-09-29 17:05:05,115 - ERROR - Rank 0 | Episode Reward: 9936.47 | Success cnt: 10 | Local Step: 1000 | Global Episode: 846 | Global Worker Step: 846000
2022-09-29 17:08:16,513 - ERROR - Rank 0 | Episode Reward: 9858.09 | Success cnt: 10 | Local Step: 1000 | Global Episode: 855 | Global Worker Step: 855000
2022-09-29 17:11:26,677 - ERROR - Rank 0 | Episode Reward: 9574.76 | Success cnt: 10 | Local Step: 1000 | Global Episode: 865 | Global Worker Step: 865000
2022-09-29 17:14:37,905 - ERROR - Rank 0 | Episode Reward: 9866.86 | Success cnt: 10 | Local Step: 1000 | Global Episode: 875 | Global Worker Step: 875000
2022-09-29 17:17:47,158 - ERROR - Rank 0 | Episode Reward: 9955.18 | Success cnt: 10 | Local Step: 1000 | Global Episode: 883 | Global Worker Step: 883000
2022-09-29 17:21:50,263 - ERROR - Rank 0 | Episode Reward: 9855.69 | Success cnt: 10 | Local Step: 1000 | Global Episode: 896 | Global Worker Step: 896000
2022-09-29 17:24:59,347 - ERROR - Rank 0 | Episode Reward: 9482.19 | Success cnt: 10 | Local Step: 1000 | Global Episode: 905 | Global Worker Step: 905000
2022-09-29 17:28:08,019 - ERROR - Rank 0 | Episode Reward: 9885.21 | Success cnt: 10 | Local Step: 1000 | Global Episode: 914 | Global Worker Step: 914000
2022-09-29 17:31:17,938 - ERROR - Rank 0 | Episode Reward: 9917.27 | Success cnt: 10 | Local Step: 1000 | Global Episode: 924 | Global Worker Step: 924000
2022-09-29 17:35:17,582 - ERROR - Rank 0 | Episode Reward: 9908.73 | Success cnt: 10 | Local Step: 1000 | Global Episode: 936 | Global Worker Step: 936000
2022-09-29 17:38:28,597 - ERROR - Rank 0 | Episode Reward: 9732.25 | Success cnt: 10 | Local Step: 1000 | Global Episode: 946 | Global Worker Step: 946000
2022-09-29 17:41:39,184 - ERROR - Rank 0 | Episode Reward: 9954.74 | Success cnt: 10 | Local Step: 1000 | Global Episode: 955 | Global Worker Step: 955000
2022-09-29 17:44:47,338 - ERROR - Rank 0 | Episode Reward: 9814.25 | Success cnt: 10 | Local Step: 1000 | Global Episode: 964 | Global Worker Step: 964000
2022-09-29 17:48:47,943 - ERROR - Rank 0 | Episode Reward: 9926.96 | Success cnt: 10 | Local Step: 1000 | Global Episode: 977 | Global Worker Step: 977000
2022-09-29 17:51:57,702 - ERROR - Rank 0 | Episode Reward: 9945.90 | Success cnt: 10 | Local Step: 1000 | Global Episode: 986 | Global Worker Step: 986000
2022-09-29 17:55:05,638 - ERROR - Rank 0 | Episode Reward: 10020.36 | Success cnt: 10 | Local Step: 1000 | Global Episode: 995 | Global Worker Step: 995000
2022-09-29 17:58:15,991 - ERROR - Rank 0 | Episode Reward: 9838.56 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1005 | Global Worker Step: 1005000
