2022-09-28 20:49:26,903 - INFO - Rank 0 | Global Episode: 49 | Episode Reward: 3587.77 | Local step: 1000 | Global worker step: 48988 | Update step: 1611 | Worker id: 5 | Elapsed time: 00:01:04
2022-09-28 20:49:27,240 - INFO - Rank 0 | Global Episode: 50 | Episode Reward: 3573.07 | Local step: 1000 | Global worker step: 49988 | Update step: 1620 | Worker id: 4 | Elapsed time: 00:01:05
2022-09-28 20:49:29,268 - INFO - Rank 0 | Global Episode: 51 | Episode Reward: 3587.24 | Local step: 1000 | Global worker step: 50988 | Update step: 1674 | Worker id: 3 | Elapsed time: 00:01:07
2022-09-28 20:49:29,788 - INFO - Rank 0 | Global Episode: 52 | Episode Reward: 3598.04 | Local step: 1000 | Global worker step: 51988 | Update step: 1689 | Worker id: 5 | Elapsed time: 00:01:07
2022-09-28 20:49:30,132 - INFO - Rank 0 | Global Episode: 53 | Episode Reward: 3580.56 | Local step: 1000 | Global worker step: 52988 | Update step: 1698 | Worker id: 4 | Elapsed time: 00:01:07
2022-09-28 20:49:32,138 - INFO - Rank 0 | Global Episode: 54 | Episode Reward: 3581.29 | Local step: 1000 | Global worker step: 53988 | Update step: 1753 | Worker id: 3 | Elapsed time: 00:01:09
2022-09-28 20:49:32,224 - INFO - Rank 0 | Global Episode: 55 | Episode Reward: 3163.94 | Local step: 845 | Global worker step: 54833 | Update step: 1755 | Worker id: 5 | Elapsed time: 00:01:09
2022-09-28 20:49:33,025 - INFO - Rank 0 | Global Episode: 56 | Episode Reward: 3583.67 | Local step: 1000 | Global worker step: 55833 | Update step: 1778 | Worker id: 4 | Elapsed time: 00:01:10
2022-09-28 20:49:35,014 - INFO - Rank 0 | Global Episode: 57 | Episode Reward: 3543.96 | Local step: 1000 | Global worker step: 56833 | Update step: 1832 | Worker id: 3 | Elapsed time: 00:01:12
2022-09-28 20:49:35,098 - INFO - Rank 0 | Global Episode: 58 | Episode Reward: 3557.94 | Local step: 1000 | Global worker step: 57833 | Update step: 1834 | Worker id: 5 | Elapsed time: 00:01:12
2022-09-28 20:49:36,031 - INFO - Rank 0 | Global Episode: 59 | Episode Reward: 3575.34 | Local step: 1000 | Global worker step: 58833 | Update step: 1857 | Worker id: 4 | Elapsed time: 00:01:13
2022-09-28 20:49:38,189 - INFO - Rank 0 | Global Episode: 60 | Episode Reward: 3583.02 | Local step: 1000 | Global worker step: 59833 | Update step: 1911 | Worker id: 3 | Elapsed time: 00:01:15
2022-09-28 20:49:38,280 - INFO - Rank 0 | Global Episode: 61 | Episode Reward: 3571.11 | Local step: 1000 | Global worker step: 60833 | Update step: 1914 | Worker id: 5 | Elapsed time: 00:01:16
2022-09-28 20:49:38,771 - INFO - Rank 0 | Global Episode: 62 | Episode Reward: 3345.83 | Local step: 887 | Global worker step: 61720 | Update step: 1926 | Worker id: 4 | Elapsed time: 00:01:16
2022-09-28 20:49:41,084 - INFO - Rank 0 | Global Episode: 63 | Episode Reward: 3555.36 | Local step: 1000 | Global worker step: 62720 | Update step: 1989 | Worker id: 3 | Elapsed time: 00:01:18
2022-09-28 20:49:41,215 - INFO - Rank 0 | Global Episode: 64 | Episode Reward: 3582.60 | Local step: 1000 | Global worker step: 63720 | Update step: 1992 | Worker id: 5 | Elapsed time: 00:01:18
2022-09-28 20:49:41,665 - INFO - Rank 0 | Global Episode: 65 | Episode Reward: 3593.84 | Local step: 1000 | Global worker step: 64720 | Update step: 2005 | Worker id: 4 | Elapsed time: 00:01:19
2022-09-28 20:49:43,988 - INFO - Rank 0 | Global Episode: 66 | Episode Reward: 3717.65 | Local step: 1000 | Global worker step: 65720 | Update step: 2069 | Worker id: 3 | Elapsed time: 00:01:21
2022-09-28 20:49:44,115 - INFO - Rank 0 | Global Episode: 67 | Episode Reward: 3585.54 | Local step: 1000 | Global worker step: 66720 | Update step: 2072 | Worker id: 5 | Elapsed time: 00:01:21
2022-09-28 20:49:44,559 - INFO - Rank 0 | Global Episode: 68 | Episode Reward: 3555.72 | Local step: 1000 | Global worker step: 67720 | Update step: 2085 | Worker id: 4 | Elapsed time: 00:01:22
2022-09-28 20:49:46,858 - INFO - Rank 0 | Global Episode: 69 | Episode Reward: 3572.79 | Local step: 1000 | Global worker step: 68720 | Update step: 2147 | Worker id: 3 | Elapsed time: 00:01:24
2022-09-28 20:49:46,994 - INFO - Rank 0 | Global Episode: 70 | Episode Reward: 3567.16 | Local step: 1000 | Global worker step: 69720 | Update step: 2150 | Worker id: 5 | Elapsed time: 00:01:24
2022-09-28 20:49:47,445 - INFO - Rank 0 | Global Episode: 71 | Episode Reward: 3581.04 | Local step: 1000 | Global worker step: 70720 | Update step: 2163 | Worker id: 4 | Elapsed time: 00:01:25
2022-09-28 20:49:48,935 - INFO - Rank 0 | Global Episode: 72 | Episode Reward: 2541.71 | Local step: 669 | Global worker step: 71389 | Update step: 2204 | Worker id: 5 | Elapsed time: 00:01:26
2022-09-28 20:49:49,749 - INFO - Rank 0 | Global Episode: 73 | Episode Reward: 3590.92 | Local step: 1000 | Global worker step: 72389 | Update step: 2225 | Worker id: 3 | Elapsed time: 00:01:27
2022-09-28 20:49:50,492 - INFO - Rank 0 | Global Episode: 74 | Episode Reward: 3586.46 | Local step: 1000 | Global worker step: 73389 | Update step: 2241 | Worker id: 4 | Elapsed time: 00:01:28
2022-09-28 20:49:51,994 - INFO - Rank 0 | Global Episode: 75 | Episode Reward: 3581.66 | Local step: 1000 | Global worker step: 74389 | Update step: 2282 | Worker id: 5 | Elapsed time: 00:01:29
2022-09-28 20:49:52,829 - INFO - Rank 0 | Global Episode: 76 | Episode Reward: 3557.03 | Local step: 1000 | Global worker step: 75389 | Update step: 2305 | Worker id: 3 | Elapsed time: 00:01:30
2022-09-28 20:49:53,518 - INFO - Rank 0 | Global Episode: 77 | Episode Reward: 3581.80 | Local step: 1000 | Global worker step: 76389 | Update step: 2321 | Worker id: 4 | Elapsed time: 00:01:31
2022-09-28 20:49:54,989 - INFO - Rank 0 | Global Episode: 78 | Episode Reward: 3585.78 | Local step: 1000 | Global worker step: 77389 | Update step: 2360 | Worker id: 5 | Elapsed time: 00:01:32
2022-09-28 20:49:55,801 - INFO - Rank 0 | Global Episode: 79 | Episode Reward: 3647.07 | Local step: 1000 | Global worker step: 78389 | Update step: 2383 | Worker id: 3 | Elapsed time: 00:01:33
2022-09-28 20:49:56,407 - INFO - Rank 0 | Global Episode: 80 | Episode Reward: 3545.10 | Local step: 1000 | Global worker step: 79389 | Update step: 2399 | Worker id: 4 | Elapsed time: 00:01:34
2022-09-28 20:49:57,873 - INFO - Rank 0 | Global Episode: 81 | Episode Reward: 3588.98 | Local step: 1000 | Global worker step: 80389 | Update step: 2440 | Worker id: 5 | Elapsed time: 00:01:35
2022-09-28 20:49:58,690 - INFO - Rank 0 | Global Episode: 82 | Episode Reward: 3585.56 | Local step: 1000 | Global worker step: 81389 | Update step: 2462 | Worker id: 3 | Elapsed time: 00:01:36
2022-09-28 20:49:59,303 - INFO - Rank 0 | Global Episode: 83 | Episode Reward: 3550.22 | Local step: 1000 | Global worker step: 82389 | Update step: 2479 | Worker id: 4 | Elapsed time: 00:01:37
2022-09-28 20:50:00,768 - INFO - Rank 0 | Global Episode: 84 | Episode Reward: 3548.80 | Local step: 1000 | Global worker step: 83389 | Update step: 2519 | Worker id: 5 | Elapsed time: 00:01:38
2022-09-28 20:50:01,692 - INFO - Rank 0 | Global Episode: 85 | Episode Reward: 3575.97 | Local step: 1000 | Global worker step: 84389 | Update step: 2540 | Worker id: 3 | Elapsed time: 00:01:39
2022-09-28 20:50:02,319 - INFO - Rank 0 | Global Episode: 86 | Episode Reward: 3573.66 | Local step: 1000 | Global worker step: 85389 | Update step: 2558 | Worker id: 4 | Elapsed time: 00:01:40
2022-09-28 20:50:03,834 - INFO - Rank 0 | Global Episode: 87 | Episode Reward: 3566.58 | Local step: 1000 | Global worker step: 86389 | Update step: 2598 | Worker id: 5 | Elapsed time: 00:01:41
2022-09-28 20:50:04,629 - INFO - Rank 0 | Global Episode: 88 | Episode Reward: 3586.51 | Local step: 1000 | Global worker step: 87389 | Update step: 2621 | Worker id: 3 | Elapsed time: 00:01:42
2022-09-28 20:50:05,257 - INFO - Rank 0 | Global Episode: 89 | Episode Reward: 3551.50 | Local step: 1000 | Global worker step: 88389 | Update step: 2637 | Worker id: 4 | Elapsed time: 00:01:43
2022-09-28 20:50:06,726 - INFO - Rank 0 | Global Episode: 90 | Episode Reward: 3556.91 | Local step: 1000 | Global worker step: 89389 | Update step: 2679 | Worker id: 5 | Elapsed time: 00:01:44
2022-09-28 20:50:07,496 - INFO - Rank 0 | Global Episode: 91 | Episode Reward: 3569.12 | Local step: 1000 | Global worker step: 90389 | Update step: 2700 | Worker id: 3 | Elapsed time: 00:01:45
2022-09-28 20:50:08,169 - INFO - Rank 0 | Global Episode: 92 | Episode Reward: 3557.80 | Local step: 1000 | Global worker step: 91389 | Update step: 2718 | Worker id: 4 | Elapsed time: 00:01:45
2022-09-28 20:50:09,639 - INFO - Rank 0 | Global Episode: 93 | Episode Reward: 3552.40 | Local step: 1000 | Global worker step: 92389 | Update step: 2757 | Worker id: 5 | Elapsed time: 00:01:47
2022-09-28 20:50:10,050 - INFO - Rank 0 | Global Episode: 94 | Episode Reward: 3392.17 | Local step: 901 | Global worker step: 93290 | Update step: 2769 | Worker id: 2 | Elapsed time: 00:01:47
2022-09-28 20:50:10,405 - INFO - Rank 0 | Global Episode: 95 | Episode Reward: 3568.33 | Local step: 1000 | Global worker step: 94290 | Update step: 2778 | Worker id: 3 | Elapsed time: 00:01:48
2022-09-28 20:50:11,083 - INFO - Rank 0 | Global Episode: 96 | Episode Reward: 3561.32 | Local step: 1000 | Global worker step: 95290 | Update step: 2796 | Worker id: 4 | Elapsed time: 00:01:48
2022-09-28 20:50:12,880 - INFO - Rank 0 | Global Episode: 97 | Episode Reward: 3560.16 | Local step: 1000 | Global worker step: 96290 | Update step: 2835 | Worker id: 5 | Elapsed time: 00:01:50
2022-09-28 20:50:13,626 - INFO - Rank 0 | Global Episode: 98 | Episode Reward: 3539.80 | Local step: 1000 | Global worker step: 97290 | Update step: 2856 | Worker id: 3 | Elapsed time: 00:01:51
2022-09-28 20:50:14,328 - INFO - Rank 0 | Global Episode: 99 | Episode Reward: 3534.15 | Local step: 1000 | Global worker step: 98290 | Update step: 2875 | Worker id: 4 | Elapsed time: 00:01:52
2022-09-28 20:50:15,747 - INFO - Rank 0 | Global Episode: 100 | Episode Reward: 3564.11 | Local step: 1000 | Global worker step: 99290 | Update step: 2914 | Worker id: 5 | Elapsed time: 00:01:53
