2022-10-04 21:03:38,790 - ERROR - Rank 0 | Episode Reward: 9771.10 | Success cnt: 10 | Local Step: 1000 | Global Episode: 286 | Global Worker Step: 286000| Sparsification ratio : 93.886
2022-10-04 21:05:30,506 - ERROR - Rank 0 | Episode Reward: 9896.68 | Success cnt: 10 | Local Step: 1000 | Global Episode: 290 | Global Worker Step: 290000| Sparsification ratio : 93.171
2022-10-04 21:07:20,880 - ERROR - Rank 0 | Episode Reward: 9746.18 | Success cnt: 10 | Local Step: 1000 | Global Episode: 295 | Global Worker Step: 295000| Sparsification ratio : 93.196
2022-10-04 21:09:12,921 - ERROR - Rank 0 | Episode Reward: 9825.25 | Success cnt: 10 | Local Step: 1000 | Global Episode: 300 | Global Worker Step: 300000| Sparsification ratio : 94.172
2022-10-04 21:11:03,663 - ERROR - Rank 0 | Episode Reward: 9941.73 | Success cnt: 10 | Local Step: 1000 | Global Episode: 305 | Global Worker Step: 305000| Sparsification ratio : 93.406
2022-10-04 21:12:54,898 - ERROR - Rank 0 | Episode Reward: 9836.92 | Success cnt: 10 | Local Step: 1000 | Global Episode: 310 | Global Worker Step: 310000| Sparsification ratio : 94.464
2022-10-04 21:14:47,544 - ERROR - Rank 0 | Episode Reward: 9923.48 | Success cnt: 10 | Local Step: 1000 | Global Episode: 314 | Global Worker Step: 314000| Sparsification ratio : 94.504
2022-10-04 21:16:38,070 - ERROR - Rank 0 | Episode Reward: 9883.22 | Success cnt: 10 | Local Step: 1000 | Global Episode: 319 | Global Worker Step: 319000| Sparsification ratio : 94.592
2022-10-04 21:18:30,300 - ERROR - Rank 0 | Episode Reward: 9922.96 | Success cnt: 10 | Local Step: 1000 | Global Episode: 324 | Global Worker Step: 324000| Sparsification ratio : 94.533
2022-10-04 21:20:21,390 - ERROR - Rank 0 | Episode Reward: 9806.34 | Success cnt: 10 | Local Step: 1000 | Global Episode: 328 | Global Worker Step: 328000| Sparsification ratio : 94.485
2022-10-04 21:22:11,814 - ERROR - Rank 0 | Episode Reward: 9869.33 | Success cnt: 10 | Local Step: 1000 | Global Episode: 333 | Global Worker Step: 333000| Sparsification ratio : 94.403
2022-10-04 21:24:03,426 - ERROR - Rank 0 | Episode Reward: 9970.59 | Success cnt: 10 | Local Step: 1000 | Global Episode: 338 | Global Worker Step: 338000| Sparsification ratio : 94.411
2022-10-04 21:25:55,161 - ERROR - Rank 0 | Episode Reward: 9760.22 | Success cnt: 10 | Local Step: 1000 | Global Episode: 343 | Global Worker Step: 343000| Sparsification ratio : 94.507
2022-10-04 21:27:47,980 - ERROR - Rank 0 | Episode Reward: 9789.43 | Success cnt: 10 | Local Step: 1000 | Global Episode: 347 | Global Worker Step: 347000| Sparsification ratio : 95.096
