2022-09-26 15:56:16,221 - INFO - Rank 0 | Global Episode: 61 | Episode Reward: 54.35 | Local step: 6 | Global worker step: 366 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,223 - INFO - Rank 0 | Global Episode: 62 | Episode Reward: 54.10 | Local step: 6 | Global worker step: 372 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,226 - INFO - Rank 0 | Global Episode: 63 | Episode Reward: 91.87 | Local step: 10 | Global worker step: 382 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,229 - INFO - Rank 0 | Global Episode: 64 | Episode Reward: 54.65 | Local step: 6 | Global worker step: 388 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,232 - INFO - Rank 0 | Global Episode: 65 | Episode Reward: 64.03 | Local step: 7 | Global worker step: 395 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,236 - INFO - Rank 0 | Global Episode: 66 | Episode Reward: 73.54 | Local step: 8 | Global worker step: 403 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,238 - INFO - Rank 0 | Global Episode: 67 | Episode Reward: 35.89 | Local step: 4 | Global worker step: 407 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,241 - INFO - Rank 0 | Global Episode: 68 | Episode Reward: 63.67 | Local step: 7 | Global worker step: 414 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,243 - INFO - Rank 0 | Global Episode: 69 | Episode Reward: 54.61 | Local step: 6 | Global worker step: 420 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,245 - INFO - Rank 0 | Global Episode: 70 | Episode Reward: 45.50 | Local step: 5 | Global worker step: 425 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,248 - INFO - Rank 0 | Global Episode: 71 | Episode Reward: 54.67 | Local step: 6 | Global worker step: 431 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,251 - INFO - Rank 0 | Global Episode: 72 | Episode Reward: 45.18 | Local step: 5 | Global worker step: 436 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,256 - INFO - Rank 0 | Global Episode: 73 | Episode Reward: 100.82 | Local step: 11 | Global worker step: 447 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,259 - INFO - Rank 0 | Global Episode: 74 | Episode Reward: 54.21 | Local step: 6 | Global worker step: 453 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,261 - INFO - Rank 0 | Global Episode: 75 | Episode Reward: 45.59 | Local step: 5 | Global worker step: 458 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,263 - INFO - Rank 0 | Global Episode: 76 | Episode Reward: 73.49 | Local step: 8 | Global worker step: 466 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,266 - INFO - Rank 0 | Global Episode: 77 | Episode Reward: 82.50 | Local step: 9 | Global worker step: 475 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,268 - INFO - Rank 0 | Global Episode: 78 | Episode Reward: 54.74 | Local step: 6 | Global worker step: 481 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,271 - INFO - Rank 0 | Global Episode: 79 | Episode Reward: 82.58 | Local step: 9 | Global worker step: 490 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,273 - INFO - Rank 0 | Global Episode: 80 | Episode Reward: 36.11 | Local step: 4 | Global worker step: 494 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,274 - INFO - Rank 0 | Global Episode: 81 | Episode Reward: 45.31 | Local step: 5 | Global worker step: 499 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,277 - INFO - Rank 0 | Global Episode: 82 | Episode Reward: 73.30 | Local step: 8 | Global worker step: 507 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,280 - INFO - Rank 0 | Global Episode: 83 | Episode Reward: 45.21 | Local step: 5 | Global worker step: 512 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,284 - INFO - Rank 0 | Global Episode: 84 | Episode Reward: 101.51 | Local step: 11 | Global worker step: 523 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,287 - INFO - Rank 0 | Global Episode: 85 | Episode Reward: 36.20 | Local step: 4 | Global worker step: 527 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,289 - INFO - Rank 0 | Global Episode: 86 | Episode Reward: 54.24 | Local step: 6 | Global worker step: 533 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,291 - INFO - Rank 0 | Global Episode: 87 | Episode Reward: 54.50 | Local step: 6 | Global worker step: 539 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,293 - INFO - Rank 0 | Global Episode: 88 | Episode Reward: 54.35 | Local step: 6 | Global worker step: 545 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,296 - INFO - Rank 0 | Global Episode: 89 | Episode Reward: 54.61 | Local step: 6 | Global worker step: 551 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,299 - INFO - Rank 0 | Global Episode: 90 | Episode Reward: 44.88 | Local step: 5 | Global worker step: 556 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,302 - INFO - Rank 0 | Global Episode: 91 | Episode Reward: 63.96 | Local step: 7 | Global worker step: 563 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,304 - INFO - Rank 0 | Global Episode: 92 | Episode Reward: 35.75 | Local step: 4 | Global worker step: 567 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,308 - INFO - Rank 0 | Global Episode: 93 | Episode Reward: 63.81 | Local step: 7 | Global worker step: 574 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,312 - INFO - Rank 0 | Global Episode: 94 | Episode Reward: 120.01 | Local step: 13 | Global worker step: 587 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,315 - INFO - Rank 0 | Global Episode: 95 | Episode Reward: 73.31 | Local step: 8 | Global worker step: 595 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,317 - INFO - Rank 0 | Global Episode: 96 | Episode Reward: 54.79 | Local step: 6 | Global worker step: 601 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,318 - INFO - Rank 0 | Global Episode: 97 | Episode Reward: 44.83 | Local step: 5 | Global worker step: 606 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,321 - INFO - Rank 0 | Global Episode: 98 | Episode Reward: 73.57 | Local step: 8 | Global worker step: 614 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,323 - INFO - Rank 0 | Global Episode: 99 | Episode Reward: 55.00 | Local step: 6 | Global worker step: 620 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,325 - INFO - Rank 0 | Global Episode: 100 | Episode Reward: 63.86 | Local step: 7 | Global worker step: 627 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,328 - INFO - Rank 0 | Global Episode: 101 | Episode Reward: 54.25 | Local step: 6 | Global worker step: 633 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,330 - INFO - Rank 0 | Global Episode: 102 | Episode Reward: 35.75 | Local step: 4 | Global worker step: 637 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,333 - INFO - Rank 0 | Global Episode: 103 | Episode Reward: 73.34 | Local step: 8 | Global worker step: 645 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,336 - INFO - Rank 0 | Global Episode: 104 | Episode Reward: 45.14 | Local step: 5 | Global worker step: 650 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,338 - INFO - Rank 0 | Global Episode: 105 | Episode Reward: 45.32 | Local step: 5 | Global worker step: 655 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,341 - INFO - Rank 0 | Global Episode: 106 | Episode Reward: 73.13 | Local step: 8 | Global worker step: 663 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,344 - INFO - Rank 0 | Global Episode: 107 | Episode Reward: 63.65 | Local step: 7 | Global worker step: 670 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,347 - INFO - Rank 0 | Global Episode: 108 | Episode Reward: 63.56 | Local step: 7 | Global worker step: 677 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,350 - INFO - Rank 0 | Global Episode: 109 | Episode Reward: 44.99 | Local step: 5 | Global worker step: 682 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,353 - INFO - Rank 0 | Global Episode: 110 | Episode Reward: 64.10 | Local step: 7 | Global worker step: 689 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,358 - INFO - Rank 0 | Global Episode: 111 | Episode Reward: 91.61 | Local step: 10 | Global worker step: 699 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,359 - INFO - Rank 0 | Global Episode: 112 | Episode Reward: 45.64 | Local step: 5 | Global worker step: 704 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,362 - INFO - Rank 0 | Global Episode: 113 | Episode Reward: 64.20 | Local step: 7 | Global worker step: 711 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,363 - INFO - Rank 0 | Global Episode: 114 | Episode Reward: 44.88 | Local step: 5 | Global worker step: 716 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
