2022-09-27 01:17:56,264 - ERROR - Rank 0 | Episode Reward: 9358.92 | Success cnt: 10 | Local Step: 1000 | Global Episode: 998 | Global Worker Step: 600514
2022-09-27 01:27:23,600 - ERROR - Rank 0 | Episode Reward: 9348.40 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1008 | Global Worker Step: 610514
2022-09-27 01:36:58,476 - ERROR - Rank 0 | Episode Reward: 9348.25 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1018 | Global Worker Step: 620514
2022-09-27 01:46:51,114 - ERROR - Rank 0 | Episode Reward: 9351.95 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1030 | Global Worker Step: 630122
2022-09-27 01:58:08,631 - ERROR - Rank 0 | Episode Reward: 9350.20 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1049 | Global Worker Step: 640912
2022-09-27 02:08:38,838 - ERROR - Rank 0 | Episode Reward: 9352.09 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1064 | Global Worker Step: 650875
2022-09-27 02:18:48,012 - ERROR - Rank 0 | Episode Reward: 1616.95 | Success cnt: 0 | Local Step: 172 | Global Episode: 1078 | Global Worker Step: 660802
2022-09-27 02:28:46,525 - ERROR - Rank 0 | Episode Reward: 9352.26 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1089 | Global Worker Step: 670302
2022-09-27 02:39:40,057 - ERROR - Rank 0 | Episode Reward: 9357.42 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1103 | Global Worker Step: 680678
2022-09-27 02:50:20,362 - ERROR - Rank 0 | Episode Reward: 9350.30 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1118 | Global Worker Step: 690791
2022-09-27 03:01:05,817 - ERROR - Rank 0 | Episode Reward: 9350.79 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1134 | Global Worker Step: 700970
2022-09-27 03:11:35,927 - ERROR - Rank 0 | Episode Reward: 9350.78 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1146 | Global Worker Step: 710894
2022-09-27 03:22:09,143 - ERROR - Rank 0 | Episode Reward: 9358.24 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1162 | Global Worker Step: 720966
2022-09-27 03:30:21,554 - ERROR - Rank 0 | Episode Reward: 9359.51 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1172 | Global Worker Step: 730133
2022-09-27 03:39:03,736 - ERROR - Rank 0 | Episode Reward: 5576.57 | Success cnt: 5 | Local Step: 164 | Global Episode: 1186 | Global Worker Step: 740038
2022-09-27 03:48:20,202 - ERROR - Rank 0 | Episode Reward: 9358.48 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1199 | Global Worker Step: 750470
2022-09-27 03:56:39,199 - ERROR - Rank 0 | Episode Reward: 954.79 | Success cnt: 0 | Local Step: 98 | Global Episode: 1213 | Global Worker Step: 760118
2022-09-27 04:06:06,331 - ERROR - Rank 0 | Episode Reward: 9356.24 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1228 | Global Worker Step: 770700
2022-09-27 04:15:01,091 - ERROR - Rank 0 | Episode Reward: 9357.89 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1238 | Global Worker Step: 780700
2022-09-27 04:23:36,100 - ERROR - Rank 0 | Episode Reward: 9350.28 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1249 | Global Worker Step: 790307
2022-09-27 04:33:04,494 - ERROR - Rank 0 | Episode Reward: 9359.61 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1269 | Global Worker Step: 800951
2022-09-27 04:41:32,478 - ERROR - Rank 0 | Episode Reward: 9359.80 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1283 | Global Worker Step: 810424
2022-09-27 04:50:11,909 - ERROR - Rank 0 | Episode Reward: 9354.13 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1304 | Global Worker Step: 820105
2022-09-27 04:59:22,186 - ERROR - Rank 0 | Episode Reward: 9350.78 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1316 | Global Worker Step: 830398
2022-09-27 05:08:11,916 - ERROR - Rank 0 | Episode Reward: 9359.29 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1327 | Global Worker Step: 840320
2022-09-27 05:17:06,358 - ERROR - Rank 0 | Episode Reward: 9351.32 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1343 | Global Worker Step: 850331
2022-09-27 05:25:53,746 - ERROR - Rank 0 | Episode Reward: 9350.77 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1361 | Global Worker Step: 860168
2022-09-27 05:35:17,777 - ERROR - Rank 0 | Episode Reward: 9350.54 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1373 | Global Worker Step: 870711
2022-09-27 05:44:09,155 - ERROR - Rank 0 | Episode Reward: 9359.08 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1386 | Global Worker Step: 880649
2022-09-27 05:53:08,631 - ERROR - Rank 0 | Episode Reward: 9350.75 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1403 | Global Worker Step: 890743
2022-09-27 06:01:33,254 - ERROR - Rank 0 | Episode Reward: 9359.54 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1414 | Global Worker Step: 900183
2022-09-27 06:10:20,178 - ERROR - Rank 0 | Episode Reward: 9359.66 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1427 | Global Worker Step: 910021
2022-09-27 06:19:33,248 - ERROR - Rank 0 | Episode Reward: 9352.03 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1443 | Global Worker Step: 920361
2022-09-27 06:28:49,261 - ERROR - Rank 0 | Episode Reward: 9348.36 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1455 | Global Worker Step: 930758
2022-09-27 06:37:09,009 - ERROR - Rank 0 | Episode Reward: 720.95 | Success cnt: 0 | Local Step: 85 | Global Episode: 1473 | Global Worker Step: 940414
2022-09-27 06:46:08,526 - ERROR - Rank 0 | Episode Reward: 9350.20 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1491 | Global Worker Step: 950488
