2022-10-02 05:31:19,145 - ERROR - Rank 0 | Episode Reward: 3564.57 | Success cnt: 10 | Local Step: 1000 | Global Episode: 540 | Global Worker Step: 537495
2022-10-02 05:33:46,188 - ERROR - Rank 0 | Episode Reward: 3566.20 | Success cnt: 10 | Local Step: 1000 | Global Episode: 547 | Global Worker Step: 544495
2022-10-02 05:36:13,702 - ERROR - Rank 0 | Episode Reward: 3569.45 | Success cnt: 10 | Local Step: 1000 | Global Episode: 553 | Global Worker Step: 550495
2022-10-02 05:38:41,042 - ERROR - Rank 0 | Episode Reward: 3566.76 | Success cnt: 10 | Local Step: 1000 | Global Episode: 560 | Global Worker Step: 557495
2022-10-02 05:41:06,997 - ERROR - Rank 0 | Episode Reward: 3576.92 | Success cnt: 10 | Local Step: 1000 | Global Episode: 566 | Global Worker Step: 563495
2022-10-02 05:43:33,311 - ERROR - Rank 0 | Episode Reward: 3574.54 | Success cnt: 10 | Local Step: 1000 | Global Episode: 573 | Global Worker Step: 570495
2022-10-02 05:45:58,979 - ERROR - Rank 0 | Episode Reward: 3557.11 | Success cnt: 9 | Local Step: 1000 | Global Episode: 579 | Global Worker Step: 576495
2022-10-02 05:48:24,203 - ERROR - Rank 0 | Episode Reward: 3541.83 | Success cnt: 9 | Local Step: 1000 | Global Episode: 586 | Global Worker Step: 583495
2022-10-02 05:50:50,975 - ERROR - Rank 0 | Episode Reward: 3550.49 | Success cnt: 9 | Local Step: 1000 | Global Episode: 592 | Global Worker Step: 589495
2022-10-02 05:53:19,295 - ERROR - Rank 0 | Episode Reward: 3580.36 | Success cnt: 10 | Local Step: 1000 | Global Episode: 600 | Global Worker Step: 597188
2022-10-02 05:55:44,421 - ERROR - Rank 0 | Episode Reward: 3578.15 | Success cnt: 10 | Local Step: 1000 | Global Episode: 606 | Global Worker Step: 603188
2022-10-02 05:58:09,885 - ERROR - Rank 0 | Episode Reward: 3566.99 | Success cnt: 10 | Local Step: 1000 | Global Episode: 612 | Global Worker Step: 609188
2022-10-02 06:00:34,658 - ERROR - Rank 0 | Episode Reward: 3460.43 | Success cnt: 9 | Local Step: 1000 | Global Episode: 619 | Global Worker Step: 616188
2022-10-02 06:03:00,516 - ERROR - Rank 0 | Episode Reward: 3582.29 | Success cnt: 10 | Local Step: 1000 | Global Episode: 626 | Global Worker Step: 623188
2022-10-02 06:05:26,887 - ERROR - Rank 0 | Episode Reward: 3576.69 | Success cnt: 10 | Local Step: 1000 | Global Episode: 632 | Global Worker Step: 629188
2022-10-02 06:07:53,062 - ERROR - Rank 0 | Episode Reward: 3571.88 | Success cnt: 10 | Local Step: 1000 | Global Episode: 638 | Global Worker Step: 635188
2022-10-02 06:10:19,989 - ERROR - Rank 0 | Episode Reward: 3531.59 | Success cnt: 9 | Local Step: 1000 | Global Episode: 645 | Global Worker Step: 642188
2022-10-02 06:12:45,929 - ERROR - Rank 0 | Episode Reward: 3574.82 | Success cnt: 10 | Local Step: 1000 | Global Episode: 652 | Global Worker Step: 649188
2022-10-02 06:15:13,254 - ERROR - Rank 0 | Episode Reward: 3575.88 | Success cnt: 10 | Local Step: 1000 | Global Episode: 659 | Global Worker Step: 656188
2022-10-02 06:17:41,607 - ERROR - Rank 0 | Episode Reward: 3561.44 | Success cnt: 10 | Local Step: 1000 | Global Episode: 665 | Global Worker Step: 662188
